Relic.Manual.41023	·<color=#d6b85b>เมื่อใช้<color=#a024ff>สกิลรบ</color>:</color> ทำให้ศัตรูที่ใกล้ที่สุดติด <color=#e92f2f>[เลือดออก]</color>
Relic.Manual.41024	·อัตราสะสมแปรปรวน +30%
Relic.Manual.41025	·กระสุนสร้างความเสียหายธาตุของอาวุธรองเพิ่ม 30%
Relic.Manual.41026	·พลังโจมตีกระสุนสูงสุด +35%\\n อัตรา<link=\\"9034\\">ทุบหนัก</link> +20%
Relic.Manual.41027	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง เมื่อใช้ท่าไม้ตาย:</link></color> ในด่านนี้ การใช้สกิลรบครั้งถัดไป 1 ครั้งไม่เข้าคูลดาวน์
Relic.Manual.41028	·พลังโจมตีกระสุนสูงสุด +35%, อัตรา<link=\\"9034\\">ทุบหนัก</link> +20%\\n·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> อัตรา<link=\\"9034\\">ทุบหนัก</link> +2% ถาวร
Relic.Manual.41029	·<color=#e92f2f>ความเสียหายกายภาพ</color>+20%\\n·<color=#d6b85b><link=\\"9002\\">ปลายทาง:</link></color> <color=#a024ff>ความเสียหายสกิลรบ</color> +4% ถาวร
Relic.Manual.41030	·<color=#e92f2f>ความเสียหายกายภาพ</color> +20%\\n·<color=#d6b85b><link=\\"9002\\">[ปลายทาง]:</link></color> ความเสียหายจาก<link=\\"9033\\">แปรปรวน</link> +4% ถาวร
Relic.Manual.41031	·<color=#d6b85b>เมื่อใช้<color=#a024ff>สกิลรบ</color>:</color> อัตรายิง +50% และกระสุน<color=#d6b85b><link=\\"9034\\">ทุบหนัก</link></color>แน่นอน สิ้นสุดเมื่อรีโหลด\\n·เมื่อ<color=#d6b85b><link=\\"9034\\">ทุบหนัก</link>:</color> เพิ่ม<color=#e92f2f>ใบมีดแตกสลาย</color> เพิ่มค่าสะสม <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> 15
Relic.Manual.41032	·พลังโจมตีกระสุนสูงสุด +35%\\n·อัตรา<link=\\"9034\\">ทุบหนัก</link> +20% \\n·<color=#d6b85b>เมื่อ<link=\\"9034\\">ทุบหนัก</link>:</color> <color=#e92f2f>หอกเลือด</color>เจาะทะลุศัตรู เพิ่มค่าสะสม <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> 35
Relic.Manual.41033	·พลังโจมตีกระสุนสูงสุด +50%\\n·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> หลังเข้าสู่การต่อสู้ อัตรายิงและความเร็วรีโหลด +45% นาน 20 วินาที
Relic.Manual.41034	·<color=#e92f2f>ความเสียหายกายภาพ</color> +30%\\n·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> ฟื้นค่าท่าไม้ตาย 35%
Relic.Manual.41035	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> <color=#e92f2f>ความเสียหายกายภาพ</color> +3% ถาวร\\n·เมื่อโจมตีศัตรูที่พลังชีวิตต่ำกว่า 50% พลังโจมตีกระสุน +100%
Relic.Manual.41036	·<color=#d6b85b>เมื่อเกิด </color><color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color><color=#d6b85b>:</color> ลดความต้านทานทั้งหมดของเป้าหมาย 2% ซ้อนได้ไม่จำกัด
Relic.Manual.41037	·พลังโจมตีกระสุนสูงสุด +35%\\n·อัตรา<link=\\"9034\\">ทุบหนัก</link> +20%\\n·<color=#d6b85b><link=\\"9034\\">เมื่อทุบหนัก</link>:</color> ทำให้ศัตรูทุกตัวในระยะ 200 หลาติด <color=#e92f2f>[เลือดสาด]</color> โดย <color=#e92f2f>[เลือดสาด]</color> นับเป็น <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color>
Relic.Manual.41038	·อัตราสะสมแปรปรวน +30%\\n·หลังทำให้ศัตรูติดแปรปรวน 5 ครั้ง <color=#e92f2f>จันทร์เลือด</color>จะสาปศัตรูตัวนั้น สร้าง<color=#e92f2f>ความเสียหายกายภาพ</color> 600% ความเสียหายนี้นับเป็นความเสียหายแปรปรวน
Relic.Manual.41039	·<color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> ปล่อย<color=#e92f2f>คำสาปเลือด</color>ใส่ศัตรูที่ใกล้ที่สุด สร้าง<color=#e92f2f>ความเสียหายกายภาพ</color> 300% หลัง<color=#e92f2f>คำสาปเลือด</color>สร้างความเสียหาย จะกระตุ้นเอฟเฟกต์<color=#d6b85b><link=\\"9001\\">ออกเดินทาง</link></color>ทั้งหมดของคุณ
Relic.Manual.41040	·<color=#e92f2f>ความเสียหายกายภาพ</color> +100%\\n·<color=#d6b85b>เมื่อเข้าด่าน:</color> ครั้งแรกที่แยกชิ้นส่วนเรลิค<color=#e92f2f>กายภาพ</color>อื่น จะได้รับเอฟเฟกต์ของมันถาวร (พาสซีฟเฉพาะ)
Relic.Manual.41041	·<color=#d6b85b>เมื่อเกิด</color><color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color><color=#d6b85b>:</color> สร้างความเสียหาย<color=#e92f2f>กายภาพ</color>จาก<color=#a024ff>สกิลรบ</color>เพิ่ม 300%\\n·<color=#d6b85b>เมื่อใช้สกิลรบ:</color> กระตุ้น <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> กับศัตรูทุกตัว
Relic.Manual.41042	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> อัตรา<link=\\"9034\\">ทุบหนัก</link> +5% ถาวร\\n·<color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> ออกคริติคอลได้ และอัตรา<link=\\"9034\\">ทุบหนัก</link>ยังเพิ่มอัตราคริติคอลของ <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> ด้วย\\n·อัตรา<link=\\"9034\\">ทุบหนัก</link>ส่วนเกินแปลงเป็นความเสียหาย <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> สองเท่า
Relic.Manual.41043	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง</link></color>, <color=#d6b85b><link=\\"9002\\">ปลายทาง</link></color>, <color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> ความเสียหาย <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color> +4% ถาวร\\n·<color=#d6b85b>เมื่อเกิด</color> <color=#e92f2f><link=\\"9011\\">[เลือดออก]</link></color><color=#d6b85b>:</color> มีโอกาส 20% สร้างความเสียหาย 10 เท่า
Relic.Manual.41044	·<color=#d6b85b>เมื่อยิง:</color> <color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 50% ที่จะยิง<color=#11f7ef>หนามน้ำแข็ง</color>เพิ่ม 1 ลูก ทำให้ติด <color=#11f7ef><link=\\"9012\\">[แช่แข็ง]</link></color> ตลอดแนว
Relic.Manual.41045	·ความเสียหายสุดท้าย +10%
Relic.Manual.41046	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 2
Relic.Manual.41047	·บล็อกความเสียหายครั้งถัดไป แล้ว<color=#d6b85b><link=\\"9022\\">[แตกสลาย]</link></color> \\n·<color=#d6b85b><link=\\"9022\\">[แตกสลาย]</link></color>: รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 10
Relic.Manual.41048	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 1\\n·<color=#d6b85b>เมื่อเสีย <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color>: </color>ทุก 1 ชั้นของ <color=#d6b85b>[เกราะ]</color> ที่เสียไป ความเสียหายสุดท้าย +2% จนออกจากการต่อสู้
Relic.Manual.41049	·<color=#d6b85b><link=\\"9001\\">ออกเดินทาง:</link></color> รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 3 \\n·<color=#d6b85b><link=\\"9022\\">[แตกสลาย]</link></color>: รับเอฟเฟกต์ <color=#d6b85b>[ออกเดินทาง]</color> ของเรลิคนี้ถาวร แต่เกราะที่ได้ลดเหลือ 1
