ExtraEffect.EffectName.1101612	ประเภทความเสียหาย
ExtraEffect.EffectName.1101622	ประเภทความเสียหาย
ExtraEffect.EffectName.1101632	ประเภทความเสียหาย
ExtraEffect.EffectName.1101642	ประเภทความเสียหาย
ExtraEffect.EffectName.1101712	ประเภทสถานะ
ExtraEffect.EffectName.1101722	ประเภทสถานะ
ExtraEffect.EffectName.1101732	ประเภทสถานะ
ExtraEffect.EffectName.1101742	ประเภทสถานะ
ExtraEffect.EffectName.1102912	มือปืนสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1102922	มือปืนสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1102932	มือปืนสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1102942	มือปืนสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103012	ประกายเร็ว แอ็กทีฟ
ExtraEffect.EffectName.1103022	ประกายเร็ว แอ็กทีฟ
ExtraEffect.EffectName.1103032	ประกายเร็ว แอ็กทีฟ
ExtraEffect.EffectName.1103042	ประกายเร็ว แอ็กทีฟ
ExtraEffect.EffectName.1103112	ชิ้นหล่อสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103122	ชิ้นหล่อสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103132	ชิ้นหล่อสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103142	ชิ้นหล่อสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103212	หัวตะปูล่อฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103222	หัวตะปูล่อฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103232	หัวตะปูล่อฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103242	หัวตะปูล่อฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103312	หัวลูกศรสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103322	หัวลูกศรสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103332	หัวลูกศรสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103342	หัวลูกศรสายฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103412	ลำกล้องไฟฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103422	ลำกล้องไฟฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103432	ลำกล้องไฟฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103442	ลำกล้องไฟฟ้า แอ็กทีฟ
ExtraEffect.EffectName.1103512	ฟีนิกซ์ แอ็กทีฟ
ExtraEffect.EffectName.1103522	ฟีนิกซ์ แอ็กทีฟ
ExtraEffect.EffectName.1103532	ฟีนิกซ์ แอ็กทีฟ
ExtraEffect.EffectName.1103542	ฟีนิกซ์ แอ็กทีฟ
ExtraEffect.EffectName.1103612	เพลิงพัน +
ExtraEffect.EffectName.1103622	เพลิงพัน +
ExtraEffect.EffectName.1103632	เพลิงพัน +
ExtraEffect.EffectName.1103642	เพลิงพัน +
ExtraEffect.EffectName.1103712	เร่งอุณหภูมิ แอ็กทีฟ
ExtraEffect.EffectName.1103722	เร่งอุณหภูมิ แอ็กทีฟ
ExtraEffect.EffectName.1103732	เร่งอุณหภูมิ แอ็กทีฟ
ExtraEffect.EffectName.1103742	เร่งอุณหภูมิ แอ็กทีฟ
ExtraEffect.EffectName.1103912	ลูกไฟระเบิด แอ็กทีฟ
ExtraEffect.EffectName.1103922	ลูกไฟระเบิด แอ็กทีฟ
ExtraEffect.EffectName.1103932	ลูกไฟระเบิด แอ็กทีฟ
ExtraEffect.EffectName.1103942	ลูกไฟระเบิด แอ็กทีฟ
ExtraEffect.EffectName.1104012	เพลิงโกลาหล แอ็กทีฟ
ExtraEffect.EffectName.1104022	เพลิงโกลาหล แอ็กทีฟ
ExtraEffect.EffectName.1104032	เพลิงโกลาหล แอ็กทีฟ
ExtraEffect.EffectName.1104042	เพลิงโกลาหล แอ็กทีฟ
ExtraEffect.EffectName.1104212	นักล่าสมบัติ แอ็กทีฟ
ExtraEffect.EffectName.1104222	นักล่าสมบัติ แอ็กทีฟ
ExtraEffect.EffectName.1104232	นักล่าสมบัติ แอ็กทีฟ
ExtraEffect.EffectName.1104242	นักล่าสมบัติ แอ็กทีฟ
ExtraEffect.EffectName.1104312	ลำกล้องรุ่นเก่า แอ็กทีฟ
ExtraEffect.EffectName.1104322	ลำกล้องรุ่นเก่า แอ็กทีฟ
ExtraEffect.EffectName.1104332	ลำกล้องรุ่นเก่า แอ็กทีฟ
